AFG,ALB,DZA,ASM,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHI,CHL,CHN,COL,COM,COD,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KSV,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NIU,NFK,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,REU,ROM,RUS,RWA,SHN,SPM,WSM,SMR,STP,SAU,SEN,SRB,SCG,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,KNA,LCA,VCT,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,WLF,PSE,YEM,ZMB,ZWE
0,0,11.2,0,0,0,0,0,6.3,0,0,49,103.6,0,0,42.7,83.3,0,0,63.7,0,0,0,0,0,0,0,0,0,122.5,0,0,2.8,0,2104.9,0,0,0,0,0,0,5.6,0.7,0,6.3,0,0,0,0,0,0,7,1.4,8.4,0,0,1.4,0,2673.3,0,0,0,0,0,6.3,0,4.9,1.4,123.9,0,0,0,0,0,179.2,4.2,0,18.2,0,0,0,8.4,0,0,0,0,0,0,46.2,81.2,0,2782.5,10.5,52552.5,140,4.9,0,13.3,156.8,0,3.5,34.3,0,46.2,0,0,0,0,926.1,0,0,0,34.3,0,0,157.5,0,0,0.7,0.7,0,0,0,4.9,3.5,0,0,0.7,0,0,0,0,11.2,0,0,0,0,0,0,14,0,7.7,0,1.4,12.6,0,0,0.7,51.8,12.6,0,0,0,0,0,0,81.2,19569.9,0,0,0,0,0.7,5.6,1.4,2.1,0,182.7,0,0,0,0,0,0,0,0,0,620.9,0,0,2.1,0,0,2.8,0,0,0,0,1.4,0,17.5,0,0,0,2.8,0,0,27.3,88.9,4743.9,0,0,14.7,3.5,0,0,0,0,0,6.3,1801.1,0,0,0,0.7,0,531.3,35,144.9,0,0,2.1,0,0,0,0,0,32.2,1111.6,0,0.7
0,0,4.2,0,2.1,1.4,0,0,16.1,0,0,1067.5,1612.1,0,0,0.7,1.4,0,0,562.8,0,2.8,2.1,0,4.2,76.3,0,0,0,63,0,1.4,3.5,5.6,1213.1,6.3,0,4.9,0,0,51.8,0.7,0,0,479.5,12.6,0,3.5,30.8,743.4,3.5,0.7,8.4,39.9,0,0,5.6,0,54.6,0,0,0,0,8.4,0,0,1.4,28,4837.7,0,0,2.8,0,0,1810.9,8.4,1.4,2851.8,0,0,0.7,1.4,4.2,13.3,0,0,0,0,8.4,401.8,1.4,32.9,20.3,0,3.5,6.3,0,23.8,7961.8,0,0,7,0,3.5,0,0,0,0,8.4,0,1.4,0,0,0,0,0,0,0,24.5,0,133.7,0,0,0.7,0,0,0,0,0,0,0,0,23.1,1.4,0,5.6,0,0,0,0,0,6.3,0,0,0,217,0,0,5.6,14.7,18.2,28,0,0,0,16.8,0,9.1,0,0,1.4,0,6.3,53.2,74.9,9.1,0,1.4,0,941.5,0,10.5,0,0,0,0,0,2.8,1.4,0,737.1,0,1.4,0,3.5,216.3,0,0,65.8,98.7,0,0,0,0,0.7,0,0,58.1,101.5,12.6,0,0,6.3,51.1,0,26.6,0,0,0.7,0,2268,0,0,0,0,0,2.1,4477.2,7605.5,0,0,0,0,0,0.7,0,0,14,9.1,0,4.9
21,0,0,0,0.7,2.8,0,1.4,23.8,0,3.5,247.1,968.1,0,1.4,0,54.6,1.4,0,4742.5,0,44.1,0,0,0,21.7,3.5,31.5,0,23.8,65.1,0,7.7,0,886.9,2.1,0,1.4,0,0,47.6,11.2,6.3,0,289.1,4.2,0,0.7,122.5,0,40.6,86.1,2.1,18.2,0.7,0,33.6,1.4,2255.4,1.4,0,0,0,47.6,0,0,1.4,85.4,1045793,182,202.3,3.5,1.4,0,5176.5,45.5,0,4224.5,0,0,325.5,5.6,1.4,0.7,0,0,1.4,0,92.4,269.5,0,6724.2,33.6,0,113.4,289.8,0,38997,7960.4,0.7,2.1,30.1,0,0,0,1.4,0,0,94.5,0,1.4,0,246.4,0,0,973,2.1,0,100.8,0,37.1,1.4,0.7,4.2,0.7,308.7,0,0,305.9,0.7,0,0,14.7,1.4,0,247.8,0,0,0,21286.3,0,60.9,2.1,0.7,20.3,186.2,14.7,9.1,5.6,22.4,333.9,560,0,0,0,58.8,1.4,410.2,0,8.4,3.5,0.7,5.6,18.9,2.1,25.2,6.3,1317.4,446.6,0,0,0,0,9.8,0,0.7,0,6.3,2.1,0,206.5,0,11.9,2.1,0.7,0,0,0,267.4,0,0.7,0,0,0,510.3,0,1.4,1036,1267.7,5.6,0,0,0,0,0,2.8,0,0,11.9,12744.9,767.2,0,0,0,1.4,0,4.2,21406.7,373.1,2.8,0,0,4.9,0,1.4,0,0,2748.2,984.9,0,544.6
0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,7,0,0,0,0,0,1.4,5.6,0,0,0,0,0,0,0.7,0,0,9.1,0,0,0,0,0,0,138.6,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,81.2,0,0,0,13.3,0,0,0,0,4.2,0,0,2.1,0,0,0,0,0,6.3,0,0,0,0,0,0,0,641.2,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,8069.6,0,0,1.4,0,0,0,0,0,0,2.1,0,0
0,0,0,0,0,0,0,0,2.8,0,0,0,2.8,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8,0,0,0,0,0,2.8,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,1.4,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9,2.1,0,0,0,0,0,0,0,0,0,0,0,0
2.8,0,0,0,0,0,0,0,267.4,0,0,35,30.8,0,0,0,7,0,0,56,0,15.4,0,0,8.4,2.1,126,546,0,1.4,0,0.7,0.7,0,314.3,0.7,0,4.2,2.1,0,0,1.4,28,0,775.6,989.1,0,0,43.4,0,0,18.9,0,2.1,2.8,0,3.5,12.6,0,0,0,7,0,127.4,0,0,0,9.8,12913.6,32.9,0,72.1,4.2,0,243.6,0,0,119,0,0,1.4,0.7,0,0,0,5.6,0,0,12.6,35,0,861,41.3,0,0,30.8,0,0,270.9,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,23.8,0,0,0,0,11.2,0,4.2,2.8,24.5,0,0,0,0,0,1.4,0,9.8,0,0.7,0,0,7,0,0,0,0,8.4,74.9,14853.3,0,2.8,0.7,0,1.4,3.5,4.2,0,199.5,0,0,0,2.8,0,52.5,0,1.4,0,9.8,102.2,25.2,0,28193.9,0,0,3.5,0,0,0,0,0,0,0,415.8,0,0,0,23.1,18.9,0,0,0,0,0,10.5,4976.3,0,0,0,0,0,150.5,0,44.8,109.2,43.4,0,0,0,14,0,0,1.4,0,0,0,0,0,0,0,0,7,0,0,2255.4,221.2,32.9,0,0,91,0,0,0,0,0,0,23697.1,42
0,0,0,0,0,0,0,5.6,0,0,49,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4,0,0,0,0,8.4,203.7,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,17.5,11.9,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,0,0,0,0,0,587.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.9,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,2.1,0,0,0,0,3.5,2.1,0,0,0,0,0,136.5,2.1,0,0,0,0,0
0,0,0,0,0,0,16.8,0,0,0,10.5,2.8,0,0,21.7,0,0,191.1,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,113.4,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,153.3,0,0,0,0,92.4,389.2,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,70,41.3,0,0,0,0,23.1,18.2,0,0,3.5,0,0,81.2,0,0,0,0,0,2.1,71.4,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,2.1,0,0,0,0,0,174.3,0,0,148.4,0,0,0,0,124.6,0,0,0,0.7,2.1,0,0,0,0,0,0,0,0,0,0,0,64.4,0,0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,179.2,53.9,20.3,0,0,0,0,0,0,0,0,0,0.7,0,1.4,0,0,1092,0,0,0,7.7,0,0,0,0,6.3,63.7,0,0,0,0,0,514.5,226.1,0,0,1.4,0,0
0,0,0.7,0,16.8,1.4,0,2.8,0,0,5.6,303.8,32.2,0,17.5,0,0,14,0,294,4.9,2.8,2.1,0,6983.2,1.4,0,11918.2,0,7,0,0.7,2.8,4.9,1694.7,3.5,0,0,0.7,0,8917.3,5.6,992.6,0,31.5,0,0,142.1,7.7,0,252,18.2,2.8,607.6,0,0.7,566.3,702.8,15.4,82.6,0,0,0,0,3.5,1.4,8.4,68.6,746.9,7,2.8,0,0,0,1236.9,0,3.5,46.2,0.7,0.7,1.4,28,186.9,2.1,0,143.5,2.8,21.7,0,157.5,0,7,10.5,0,13.3,42,0,920.5,12047.7,2.1,54.6,2.1,0,0,0,0,0,0,3.5,0,0,0,5.6,9.8,4.9,0,1.4,0,4.9,0,2.1,0,0,1.4,0,0,0,0,2.8,0,2.1,0,1146.6,6.3,0,14.7,0,0,0,0.7,2.1,19.6,10.5,3.5,0,158.2,18.9,4.2,101.5,82.6,32.2,101.5,0,0,0,165.9,1.4,0,0,319.2,4.9,17194.1,2713.9,79.1,2.8,100.8,274.4,31.5,0.7,0,0,1.4,0.7,0,2.8,0,0,0,6.3,0,11.2,0,6.3,0,0.7,0.7,0.7,0,470.4,14562.8,0,0,0.7,0,0,192.5,7.7,434,378.7,2.1,0,0,3.5,0,0,48.3,0,0,28,2.1,163.1,0,0,0,0,0,1.4,223.3,38727.5,16109.1,0,1.4,2678.9,0,0,0,0,51.1,26.6,0,47.6
0,3.5,0,0,0,0,0,0,599.9,0,0,338.8,69.3,117632.9,0,0,0,0,0,132.3,0,1.4,2.1,0,4.2,0,0,513.8,0,625.8,0,11.9,2.1,9.8,1397.9,0,0,25.9,30.1,0,23.1,43.4,4.9,0,1985.9,6.3,0,0,7.7,3.5,0,100.1,23.1,145.6,2.1,0,1.4,4.2,37.8,0,0,5.6,0,34.3,0,0,0.7,18.2,122.5,0,0,2.8,1.4,27331.5,521.5,3.5,0,86.1,0,0,0,1.4,0,41.3,0,2.1,0,0,371,741.3,0,23.1,47.6,0,98.7,1.4,0,1026.2,14.7,0,0.7,0,4454.8,889.7,0,4.2,1.4,0,2.8,805,4.2,0,6.3,0,1.4,6.3,0,0,0.7,5.6,0,50.4,0,0,0,5.6,0.7,0,0,0,0,0,35.7,0,429.1,0,0,0,0,0,4.2,877.8,0,0,0,2.8,0,0,3.5,0,17.5,35,0,0,0,3.5,0,2.1,0,0,0,32.9,28.7,35.7,1848.7,0,0,35,0,3.5,59497.2,13.3,0,0,0,0,0,0.7,0,0,2.1,0,0.7,0,9.1,0,0,8.4,56,0,0,0,0,0,476.7,0,0,73.5,35.7,4.2,0,1080.1,64.4,193.9,0,25.9,0,0,0,0,175,2237.2,0,0,16.8,15371.3,0,343.7,48993.7,100.1,5812.8,0,39.9,2.1,0,0,0,22.4,763,0.7,9.8
