AFG,ALB,DZA,ASM,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHI,CHL,CHN,COL,COM,COD,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KSV,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NIU,NFK,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,REU,ROM,RUS,RWA,SHN,SPM,WSM,SMR,STP,SAU,SEN,SRB,SCG,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,KNA,LCA,VCT,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,WLF,PSE,YEM,ZMB,ZWE
0,0,0.96,0,0,0,0,0,0.54,0,0,4.2,8.88,0,0,3.66,7.14,0,0,5.46,0,0,0,0,0,0,0,0,0,10.5,0,0,0.24,0,180.42,0,0,0,0,0,0,0.48,0.06,0,0.54,0,0,0,0,0,0,0.6,0.12,0.72,0,0,0.12,0,229.14,0,0,0,0,0,0.54,0,0.42,0.12,10.62,0,0,0,0,0,15.36,0.36,0,1.56,0,0,0,0.72,0,0,0,0,0,0,3.96,6.96,0,238.5,0.9,4504.5,12,0.42,0,1.14,13.44,0,0.3,2.94,0,3.96,0,0,0,0,79.38,0,0,0,2.94,0,0,13.5,0,0,0.06,0.06,0,0,0,0.42,0.3,0,0,0.06,0,0,0,0,0.96,0,0,0,0,0,0,1.2,0,0.66,0,0.12,1.08,0,0,0.06,4.44,1.08,0,0,0,0,0,0,6.96,1677.42,0,0,0,0,0.06,0.48,0.12,0.18,0,15.66,0,0,0,0,0,0,0,0,0,53.22,0,0,0.18,0,0,0.24,0,0,0,0,0.12,0,1.5,0,0,0,0.24,0,0,2.34,7.62,406.62,0,0,1.26,0.3,0,0,0,0,0,0.54,154.38,0,0,0,0.06,0,45.54,3,12.42,0,0,0.18,0,0,0,0,0,2.76,95.28,0,0.06
0,0,0.36,0,0.18,0.12,0,0,1.38,0,0,91.5,138.18,0,0,0.06,0.12,0,0,48.24,0,0.24,0.18,0,0.36,6.54,0,0,0,5.4,0,0.12,0.3,0.48,103.98,0.54,0,0.42,0,0,4.44,0.06,0,0,41.1,1.08,0,0.3,2.64,63.72,0.3,0.06,0.72,3.42,0,0,0.48,0,4.68,0,0,0,0,0.72,0,0,0.12,2.4,414.66,0,0,0.24,0,0,155.22,0.72,0.12,244.44,0,0,0.06,0.12,0.36,1.14,0,0,0,0,0.72,34.44,0.12,2.82,1.74,0,0.3,0.54,0,2.04,682.44,0,0,0.6,0,0.3,0,0,0,0,0.72,0,0.12,0,0,0,0,0,0,0,2.1,0,11.46,0,0,0.06,0,0,0,0,0,0,0,0,1.98,0.12,0,0.48,0,0,0,0,0,0.54,0,0,0,18.6,0,0,0.48,1.26,1.56,2.4,0,0,0,1.44,0,0.78,0,0,0.12,0,0.54,4.56,6.42,0.78,0,0.12,0,80.7,0,0.9,0,0,0,0,0,0.24,0.12,0,63.18,0,0.12,0,0.3,18.54,0,0,5.64,8.46,0,0,0,0,0.06,0,0,4.98,8.7,1.08,0,0,0.54,4.38,0,2.28,0,0,0.06,0,194.4,0,0,0,0,0,0.18,383.76,651.9,0,0,0,0,0,0.06,0,0,1.2,0.78,0,0.42
1.8,0,0,0,0.06,0.24,0,0.12,2.04,0,0.3,21.18,82.98,0,0.12,0,4.68,0.12,0,406.5,0,3.78,0,0,0,1.86,0.3,2.7,0,2.04,5.58,0,0.66,0,76.02,0.18,0,0.12,0,0,4.08,0.96,0.54,0,24.78,0.36,0,0.06,10.5,0,3.48,7.38,0.18,1.56,0.06,0,2.88,0.12,193.32,0.12,0,0,0,4.08,0,0,0.12,7.32,89639.4,15.6,17.34,0.3,0.12,0,443.7,3.9,0,362.1,0,0,27.9,0.48,0.12,0.06,0,0,0.12,0,7.92,23.1,0,576.36,2.88,0,9.72,24.84,0,3342.6,682.32,0.06,0.18,2.58,0,0,0,0.12,0,0,8.1,0,0.12,0,21.12,0,0,83.4,0.18,0,8.64,0,3.18,0.12,0.06,0.36,0.06,26.46,0,0,26.22,0.06,0,0,1.26,0.12,0,21.24,0,0,0,1824.54,0,5.22,0.18,0.06,1.74,15.96,1.26,0.78,0.48,1.92,28.62,48,0,0,0,5.04,0.12,35.16,0,0.72,0.3,0.06,0.48,1.62,0.18,2.16,0.54,112.92,38.28,0,0,0,0,0.84,0,0.06,0,0.54,0.18,0,17.7,0,1.02,0.18,0.06,0,0,0,22.92,0,0.06,0,0,0,43.74,0,0.12,88.8,108.66,0.48,0,0,0,0,0,0.24,0,0,1.02,1092.42,65.76,0,0,0,0.12,0,0.36,1834.86,31.98,0.24,0,0,0.42,0,0.12,0,0,235.56,84.42,0,46.68
0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.12,0.48,0,0,0,0,0,0,0.06,0,0,0.78,0,0,0,0,0,0,11.88,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,6.96,0,0,0,1.14,0,0,0,0,0.36,0,0,0.18,0,0,0,0,0,0.54,0,0,0,0,0,0,0,54.96,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,691.68,0,0,0.12,0,0,0,0,0,0,0.18,0,0
0,0,0,0,0,0,0,0,0.24,0,0,0,0.24,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0,0,0,0,0,0.24,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0.12,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,0.18,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0,0,0,0,0,0,0,22.92,0,0,3,2.64,0,0,0,0.6,0,0,4.8,0,1.32,0,0,0.72,0.18,10.8,46.8,0,0.12,0,0.06,0.06,0,26.94,0.06,0,0.36,0.18,0,0,0.12,2.4,0,66.48,84.78,0,0,3.72,0,0,1.62,0,0.18,0.24,0,0.3,1.08,0,0,0,0.6,0,10.92,0,0,0,0.84,1106.88,2.82,0,6.18,0.36,0,20.88,0,0,10.2,0,0,0.12,0.06,0,0,0,0.48,0,0,1.08,3,0,73.8,3.54,0,0,2.64,0,0,23.22,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,2.04,0,0,0,0,0.96,0,0.36,0.24,2.1,0,0,0,0,0,0.12,0,0.84,0,0.06,0,0,0.6,0,0,0,0,0.72,6.42,1273.14,0,0.24,0.06,0,0.12,0.3,0.36,0,17.1,0,0,0,0.24,0,4.5,0,0.12,0,0.84,8.76,2.16,0,2416.62,0,0,0.3,0,0,0,0,0,0,0,35.64,0,0,0,1.98,1.62,0,0,0,0,0,0.9,426.54,0,0,0,0,0,12.9,0,3.84,9.36,3.72,0,0,0,1.2,0,0,0.12,0,0,0,0,0,0,0,0,0.6,0,0,193.32,18.96,2.82,0,0,7.8,0,0,0,0,0,0,2031.18,3.6
0,0,0,0,0,0,0,0.48,0,0,4.2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0.72,17.46,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,1.5,1.02,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,50.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.02,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4,0,0,0,0.18,0,0,0,0,0.3,0.18,0,0,0,0,0,11.7,0.18,0,0,0,0,0
0,0,0,0,0,0,1.44,0,0,0,0.9,0.24,0,0,1.86,0,0,16.38,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,13.14,0,0,0,0,7.92,33.36,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,6,3.54,0,0,0,0,1.98,1.56,0,0,0.3,0,0,6.96,0,0,0,0,0,0.18,6.12,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.18,0,0,0,0,0,14.94,0,0,12.72,0,0,0,0,10.68,0,0,0,0.06,0.18,0,0,0,0,0,0,0,0,0,0,0,5.52,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,15.36,4.62,1.74,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0,0,93.6,0,0,0,0.66,0,0,0,0,0.54,5.46,0,0,0,0,0,44.1,19.38,0,0,0.12,0,0
0,0,0.06,0,1.44,0.12,0,0.24,0,0,0.48,26.04,2.76,0,1.5,0,0,1.2,0,25.2,0.42,0.24,0.18,0,598.56,0.12,0,1021.56,0,0.6,0,0.06,0.24,0.42,145.26,0.3,0,0,0.06,0,764.34,0.48,85.08,0,2.7,0,0,12.18,0.66,0,21.6,1.56,0.24,52.08,0,0.06,48.54,60.24,1.32,7.08,0,0,0,0,0.3,0.12,0.72,5.88,64.02,0.6,0.24,0,0,0,106.02,0,0.3,3.96,0.06,0.06,0.12,2.4,16.02,0.18,0,12.3,0.24,1.86,0,13.5,0,0.6,0.9,0,1.14,3.6,0,78.9,1032.66,0.18,4.68,0.18,0,0,0,0,0,0,0.3,0,0,0,0.48,0.84,0.42,0,0.12,0,0.42,0,0.18,0,0,0.12,0,0,0,0,0.24,0,0.18,0,98.28,0.54,0,1.26,0,0,0,0.06,0.18,1.68,0.9,0.3,0,13.56,1.62,0.36,8.7,7.08,2.76,8.7,0,0,0,14.22,0.12,0,0,27.36,0.42,1473.78,232.62,6.78,0.24,8.64,23.52,2.7,0.06,0,0,0.12,0.06,0,0.24,0,0,0,0.54,0,0.96,0,0.54,0,0.06,0.06,0.06,0,40.32,1248.24,0,0,0.06,0,0,16.5,0.66,37.2,32.46,0.18,0,0,0.3,0,0,4.14,0,0,2.4,0.18,13.98,0,0,0,0,0,0.12,19.14,3319.5,1380.78,0,0.12,229.62,0,0,0,0,4.38,2.28,0,4.08
0,0.3,0,0,0,0,0,0,51.42,0,0,29.04,5.94,10082.82,0,0,0,0,0,11.34,0,0.12,0.18,0,0.36,0,0,44.04,0,53.64,0,1.02,0.18,0.84,119.82,0,0,2.22,2.58,0,1.98,3.72,0.42,0,170.22,0.54,0,0,0.66,0.3,0,8.58,1.98,12.48,0.18,0,0.12,0.36,3.24,0,0,0.48,0,2.94,0,0,0.06,1.56,10.5,0,0,0.24,0.12,2342.7,44.7,0.3,0,7.38,0,0,0,0.12,0,3.54,0,0.18,0,0,31.8,63.54,0,1.98,4.08,0,8.46,0.12,0,87.96,1.26,0,0.06,0,381.84,76.26,0,0.36,0.12,0,0.24,69,0.36,0,0.54,0,0.12,0.54,0,0,0.06,0.48,0,4.32,0,0,0,0.48,0.06,0,0,0,0,0,3.06,0,36.78,0,0,0,0,0,0.36,75.24,0,0,0,0.24,0,0,0.3,0,1.5,3,0,0,0,0.3,0,0.18,0,0,0,2.82,2.46,3.06,158.46,0,0,3,0,0.3,5099.76,1.14,0,0,0,0,0,0.06,0,0,0.18,0,0.06,0,0.78,0,0,0.72,4.8,0,0,0,0,0,40.86,0,0,6.3,3.06,0.36,0,92.58,5.52,16.62,0,2.22,0,0,0,0,15,191.76,0,0,1.44,1317.54,0,29.46,4199.46,8.58,498.24,0,3.42,0.18,0,0,0,1.92,65.4,0.06,0.84
