AFG,ALB,DZA,ASM,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHI,CHL,CHN,COL,COM,COD,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KSV,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NIU,NFK,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,REU,ROM,RUS,RWA,SHN,SPM,WSM,SMR,STP,SAU,SEN,SRB,SCG,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,KNA,LCA,VCT,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,WLF,PSE,YEM,ZMB,ZWE
0,0,"1,76",0,0,0,0,0,"0,99",0,0,"7,7","16,28",0,0,"6,71","13,09",0,0,"10,01",0,0,0,0,0,0,0,0,0,"19,25",0,0,"0,44",0,"330,77",0,0,0,0,0,0,"0,88","0,11",0,"0,99",0,0,0,0,0,0,"1,1","0,22","1,32",0,0,"0,22",0,"420,09",0,0,0,0,0,"0,99",0,"0,77","0,22","19,47",0,0,0,0,0,"28,16","0,66",0,"2,86",0,0,0,"1,32",0,0,0,0,0,0,"7,26","12,76",0,"437,25","1,65","8258,25",22,"0,77",0,"2,09","24,64",0,"0,55","5,39",0,"7,26",0,0,0,0,"145,53",0,0,0,"5,39",0,0,"24,75",0,0,"0,11","0,11",0,0,0,"0,77","0,55",0,0,"0,11",0,0,0,0,"1,76",0,0,0,0,0,0,"2,2",0,"1,21",0,"0,22","1,98",0,0,"0,11","8,14","1,98",0,0,0,0,0,0,"12,76","3075,27",0,0,0,0,"0,11","0,88","0,22","0,33",0,"28,71",0,0,0,0,0,0,0,0,0,"97,57",0,0,"0,33",0,0,"0,44",0,0,0,0,"0,22",0,"2,75",0,0,0,"0,44",0,0,"4,29","13,97","745,47",0,0,"2,31","0,55",0,0,0,0,0,"0,99","283,03",0,0,0,"0,11",0,"83,49","5,5","22,77",0,0,"0,33",0,0,0,0,0,"5,06","174,68",0,"0,11"
0,0,"0,66",0,"0,33","0,22",0,0,"2,53",0,0,"167,75","253,33",0,0,"0,11","0,22",0,0,"88,44",0,"0,44","0,33",0,"0,66","11,99",0,0,0,"9,9",0,"0,22","0,55","0,88","190,63","0,99",0,"0,77",0,0,"8,14","0,11",0,0,"75,35","1,98",0,"0,55","4,84","116,82","0,55","0,11","1,32","6,27",0,0,"0,88",0,"8,58",0,0,0,0,"1,32",0,0,"0,22","4,4","760,21",0,0,"0,44",0,0,"284,57","1,32","0,22","448,14",0,0,"0,11","0,22","0,66","2,09",0,0,0,0,"1,32","63,14","0,22","5,17","3,19",0,"0,55","0,99",0,"3,74","1251,14",0,0,"1,1",0,"0,55",0,0,0,0,"1,32",0,"0,22",0,0,0,0,0,0,0,"3,85",0,"21,01",0,0,"0,11",0,0,0,0,0,0,0,0,"3,63","0,22",0,"0,88",0,0,0,0,0,"0,99",0,0,0,"34,1",0,0,"0,88","2,31","2,86","4,4",0,0,0,"2,64",0,"1,43",0,0,"0,22",0,"0,99","8,36","11,77","1,43",0,"0,22",0,"147,95",0,"1,65",0,0,0,0,0,"0,44","0,22",0,"115,83",0,"0,22",0,"0,55","33,99",0,0,"10,34","15,51",0,0,0,0,"0,11",0,0,"9,13","15,95","1,98",0,0,"0,99","8,03",0,"4,18",0,0,"0,11",0,"356,4",0,0,0,0,0,"0,33","703,56","1195,15",0,0,0,0,0,"0,11",0,0,"2,2","1,43",0,"0,77"
"3,3",0,0,0,"0,11","0,44",0,"0,22","3,74",0,"0,55","38,83","152,13",0,"0,22",0,"8,58","0,22",0,"745,25",0,"6,93",0,0,0,"3,41","0,55","4,95",0,"3,74","10,23",0,"1,21",0,"139,37","0,33",0,"0,22",0,0,"7,48","1,76","0,99",0,"45,43","0,66",0,"0,11","19,25",0,"6,38","13,53","0,33","2,86","0,11",0,"5,28","0,22","354,42","0,22",0,0,0,"7,48",0,0,"0,22","13,42","164338,9","28,6","31,79","0,55","0,22",0,"813,45","7,15",0,"663,85",0,0,"51,15","0,88","0,22","0,11",0,0,"0,22",0,"14,52","42,35",0,"1056,66","5,28",0,"17,82","45,54",0,"6128,1","1250,92","0,11","0,33","4,73",0,0,0,"0,22",0,0,"14,85",0,"0,22",0,"38,72",0,0,"152,9","0,33",0,"15,84",0,"5,83","0,22","0,11","0,66","0,11","48,51",0,0,"48,07","0,11",0,0,"2,31","0,22",0,"38,94",0,0,0,"3344,99",0,"9,57","0,33","0,11","3,19","29,26","2,31","1,43","0,88","3,52","52,47",88,0,0,0,"9,24","0,22","64,46",0,"1,32","0,55","0,11","0,88","2,97","0,33","3,96","0,99","207,02","70,18",0,0,0,0,"1,54",0,"0,11",0,"0,99","0,33",0,"32,45",0,"1,87","0,33","0,11",0,0,0,"42,02",0,"0,11",0,0,0,"80,19",0,"0,22","162,8","199,21","0,88",0,0,0,0,0,"0,44",0,0,"1,87","2002,77","120,56",0,0,0,"0,22",0,"0,66","3363,91","58,63","0,44",0,0,"0,77",0,"0,22",0,0,"431,86","154,77",0,"85,58"
0,0,0,0,0,0,0,0,0,0,0,"0,33",0,0,0,0,0,0,0,"0,88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,9",0,0,0,0,0,0,0,0,0,"0,55",0,0,0,0,0,0,0,0,0,0,0,"0,33",0,0,0,0,0,0,0,0,0,"1,32",0,0,0,0,0,0,0,"1,1",0,0,0,0,0,"0,22","0,88",0,0,0,0,0,0,"0,11",0,0,"1,43",0,0,0,0,0,0,"21,78",0,0,0,0,0,"0,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,1","0,22",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,11","12,76",0,0,0,"2,09",0,0,0,0,"0,66",0,0,"0,33",0,0,0,0,0,"0,99",0,0,0,0,0,0,0,"100,76",0,0,0,0,0,0,0,0,0,0,0,"0,55",0,0,0,0,0,0,0,0,0,0,0,"2,31",0,0,0,0,0,0,0,0,0,"0,22",0,0,0,0,0,0,0,0,0,"1268,08",0,0,"0,22",0,0,0,0,0,0,"0,33",0,0
0,0,0,0,0,0,0,0,"0,44",0,0,0,"0,44",0,0,0,0,0,0,"0,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,74",0,0,0,0,0,0,0,0,0,"0,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,24",0,0,0,0,0,"0,44",0,0,"0,11",0,0,0,0,0,0,0,0,0,0,0,"1,76",0,0,0,0,0,0,0,0,"1,98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,9","0,22",0,0,0,0,0,0,0,0,"1,43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,47","0,33",0,0,0,0,0,0,0,0,0,0,0,0
"0,44",0,0,0,0,0,0,0,"42,02",0,0,"5,5","4,84",0,0,0,"1,1",0,0,"8,8",0,"2,42",0,0,"1,32","0,33","19,8","85,8",0,"0,22",0,"0,11","0,11",0,"49,39","0,11",0,"0,66","0,33",0,0,"0,22","4,4",0,"121,88","155,43",0,0,"6,82",0,0,"2,97",0,"0,33","0,44",0,"0,55","1,98",0,0,0,"1,1",0,"20,02",0,0,0,"1,54","2029,28","5,17",0,"11,33","0,66",0,"38,28",0,0,"18,7",0,0,"0,22","0,11",0,0,0,"0,88",0,0,"1,98","5,5",0,"135,3","6,49",0,0,"4,84",0,0,"42,57",0,0,0,0,0,0,0,0,0,0,0,"0,33",0,0,"3,74",0,0,0,0,"1,76",0,"0,66","0,44","3,85",0,0,0,0,0,"0,22",0,"1,54",0,"0,11",0,0,"1,1",0,0,0,0,"1,32","11,77","2334,09",0,"0,44","0,11",0,"0,22","0,55","0,66",0,"31,35",0,0,0,"0,44",0,"8,25",0,"0,22",0,"1,54","16,06","3,96",0,"4430,47",0,0,"0,55",0,0,0,0,0,0,0,"65,34",0,0,0,"3,63","2,97",0,0,0,0,0,"1,65","781,99",0,0,0,0,0,"23,65",0,"7,04","17,16","6,82",0,0,0,"2,2",0,0,"0,22",0,0,0,0,0,0,0,0,"1,1",0,0,"354,42","34,76","5,17",0,0,"14,3",0,0,0,0,0,0,"3723,83","6,6"
0,0,0,0,0,0,0,"0,88",0,0,"7,7",0,0,0,0,0,0,"5,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,82",0,0,0,0,"1,32","32,01",0,0,0,0,0,0,0,0,0,0,0,0,"0,11",0,0,0,0,0,0,0,0,0,"2,75","1,87",0,0,0,0,0,"0,77",0,0,0,0,0,0,0,0,0,0,0,0,"3,19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,09",0,0,0,0,0,0,0,"92,29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,87","1,43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"48,4",0,0,0,"0,33",0,0,0,0,"0,55","0,33",0,0,0,0,0,"21,45","0,33",0,0,0,0,0
0,0,0,0,0,0,"2,64",0,0,0,"1,65","0,44",0,0,"3,41",0,0,"30,03",0,0,0,0,"0,88",0,0,0,0,0,0,0,0,0,0,0,"17,82",0,0,0,0,0,0,0,0,0,"0,22",0,0,0,0,0,"24,09",0,0,0,0,"14,52","61,16",0,0,0,0,0,0,0,0,0,0,0,0,"0,33",0,0,0,0,0,0,0,0,0,11,"6,49",0,0,0,0,"3,63","2,86",0,0,"0,55",0,0,"12,76",0,0,0,0,0,"0,33","11,22",0,0,0,0,0,0,0,0,0,0,"0,11",0,0,0,"0,11",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,22",0,0,0,"0,33",0,0,0,0,0,"27,39",0,0,"23,32",0,0,0,0,"19,58",0,0,0,"0,11","0,33",0,0,0,0,0,0,0,0,0,0,0,"10,12",0,0,"16,17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,22",0,0,"28,16","8,47","3,19",0,0,0,0,0,0,0,0,0,"0,11",0,"0,22",0,0,"171,6",0,0,0,"1,21",0,0,0,0,"0,99","10,01",0,0,0,0,0,"80,85","35,53",0,0,"0,22",0,0
0,0,"0,11",0,"2,64","0,22",0,"0,44",0,0,"0,88","47,74","5,06",0,"2,75",0,0,"2,2",0,"46,2","0,77","0,44","0,33",0,"1097,36","0,22",0,"1872,86",0,"1,1",0,"0,11","0,44","0,77","266,31","0,55",0,0,"0,11",0,"1401,29","0,88","155,98",0,"4,95",0,0,"22,33","1,21",0,"39,6","2,86","0,44","95,48",0,"0,11","88,99","110,44","2,42","12,98",0,0,0,0,"0,55","0,22","1,32","10,78","117,37","1,1","0,44",0,0,0,"194,37",0,"0,55","7,26","0,11","0,11","0,22","4,4","29,37","0,33",0,"22,55","0,44","3,41",0,"24,75",0,"1,1","1,65",0,"2,09","6,6",0,"144,65","1893,21","0,33","8,58","0,33",0,0,0,0,0,0,"0,55",0,0,0,"0,88","1,54","0,77",0,"0,22",0,"0,77",0,"0,33",0,0,"0,22",0,0,0,0,"0,44",0,"0,33",0,"180,18","0,99",0,"2,31",0,0,0,"0,11","0,33","3,08","1,65","0,55",0,"24,86","2,97","0,66","15,95","12,98","5,06","15,95",0,0,0,"26,07","0,22",0,0,"50,16","0,77","2701,93","426,47","12,43","0,44","15,84","43,12","4,95","0,11",0,0,"0,22","0,11",0,"0,44",0,0,0,"0,99",0,"1,76",0,"0,99",0,"0,11","0,11","0,11",0,"73,92","2288,44",0,0,"0,11",0,0,"30,25","1,21","68,2","59,51","0,33",0,0,"0,55",0,0,"7,59",0,0,"4,4","0,33","25,63",0,0,0,0,0,"0,22","35,09","6085,75","2531,43",0,"0,22","420,97",0,0,0,0,"8,03","4,18",0,"7,48"
0,"0,55",0,0,0,0,0,0,"94,27",0,0,"53,24","10,89","18485,17",0,0,0,0,0,"20,79",0,"0,22","0,33",0,"0,66",0,0,"80,74",0,"98,34",0,"1,87","0,33","1,54","219,67",0,0,"4,07","4,73",0,"3,63","6,82","0,77",0,"312,07","0,99",0,0,"1,21","0,55",0,"15,73","3,63","22,88","0,33",0,"0,22","0,66","5,94",0,0,"0,88",0,"5,39",0,0,"0,11","2,86","19,25",0,0,"0,44","0,22","4294,95","81,95","0,55",0,"13,53",0,0,0,"0,22",0,"6,49",0,"0,33",0,0,"58,3","116,49",0,"3,63","7,48",0,"15,51","0,22",0,"161,26","2,31",0,"0,11",0,"700,04","139,81",0,"0,66","0,22",0,"0,44","126,5","0,66",0,"0,99",0,"0,22","0,99",0,0,"0,11","0,88",0,"7,92",0,0,0,"0,88","0,11",0,0,0,0,0,"5,61",0,"67,43",0,0,0,0,0,"0,66","137,94",0,0,0,"0,44",0,0,"0,55",0,"2,75","5,5",0,0,0,"0,55",0,"0,33",0,0,0,"5,17","4,51","5,61","290,51",0,0,"5,5",0,"0,55","9349,56","2,09",0,0,0,0,0,"0,11",0,0,"0,33",0,"0,11",0,"1,43",0,0,"1,32","8,8",0,0,0,0,0,"74,91",0,0,"11,55","5,61","0,66",0,"169,73","10,12","30,47",0,"4,07",0,0,0,0,"27,5","351,56",0,0,"2,64","2415,49",0,"54,01","7699,01","15,73","913,44",0,"6,27","0,33",0,0,0,"3,52","119,9","0,11","1,54"
