AFG,ALB,DZA,ASM,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHI,CHL,CHN,COL,COM,COD,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KSV,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NIU,NFK,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,REU,ROM,RUS,RWA,SHN,SPM,WSM,SMR,STP,SAU,SEN,SRB,SCG,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,KNA,LCA,VCT,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,WLF,PSE,YEM,ZMB,ZWE
0,0,1.28,0,0,0,0,0,0.72,0,0,5.6,11.84,0,0,4.88,9.52,0,0,7.28,0,0,0,0,0,0,0,0,0,14,0,0,0.32,0,240.56,0,0,0,0,0,0,0.64,0.08,0,0.72,0,0,0,0,0,0,0.8,0.16,0.96,0,0,0.16,0,305.52,0,0,0,0,0,0.72,0,0.56,0.16,14.16,0,0,0,0,0,20.48,0.48,0,2.08,0,0,0,0.96,0,0,0,0,0,0,5.28,9.28,0,318,1.2,6006,16,0.56,0,1.52,17.92,0,0.4,3.92,0,5.28,0,0,0,0,105.84,0,0,0,3.92,0,0,18,0,0,0.08,0.08,0,0,0,0.56,0.4,0,0,0.08,0,0,0,0,1.28,0,0,0,0,0,0,1.6,0,0.88,0,0.16,1.44,0,0,0.08,5.92,1.44,0,0,0,0,0,0,9.28,2236.56,0,0,0,0,0.08,0.64,0.16,0.24,0,20.88,0,0,0,0,0,0,0,0,0,70.96,0,0,0.24,0,0,0.32,0,0,0,0,0.16,0,2,0,0,0,0.32,0,0,3.12,10.16,542.16,0,0,1.68,0.4,0,0,0,0,0,0.72,205.84,0,0,0,0.08,0,60.72,4,16.56,0,0,0.24,0,0,0,0,0,3.68,127.04,0,0.08
0,0,0.48,0,0.24,0.16,0,0,1.84,0,0,122,184.24,0,0,0.08,0.16,0,0,64.32,0,0.32,0.24,0,0.48,8.72,0,0,0,7.2,0,0.16,0.4,0.64,138.64,0.72,0,0.56,0,0,5.92,0.08,0,0,54.8,1.44,0,0.4,3.52,84.96,0.4,0.08,0.96,4.56,0,0,0.64,0,6.24,0,0,0,0,0.96,0,0,0.16,3.2,552.88,0,0,0.32,0,0,206.96,0.96,0.16,325.92,0,0,0.08,0.16,0.48,1.52,0,0,0,0,0.96,45.92,0.16,3.76,2.32,0,0.4,0.72,0,2.72,909.92,0,0,0.8,0,0.4,0,0,0,0,0.96,0,0.16,0,0,0,0,0,0,0,2.8,0,15.28,0,0,0.08,0,0,0,0,0,0,0,0,2.64,0.16,0,0.64,0,0,0,0,0,0.72,0,0,0,24.8,0,0,0.64,1.68,2.08,3.2,0,0,0,1.92,0,1.04,0,0,0.16,0,0.72,6.08,8.56,1.04,0,0.16,0,107.6,0,1.2,0,0,0,0,0,0.32,0.16,0,84.24,0,0.16,0,0.4,24.72,0,0,7.52,11.28,0,0,0,0,0.08,0,0,6.64,11.6,1.44,0,0,0.72,5.84,0,3.04,0,0,0.08,0,259.2,0,0,0,0,0,0.24,511.68,869.2,0,0,0,0,0,0.08,0,0,1.6,1.04,0,0.56
2.4,0,0,0,0.08,0.32,0,0.16,2.72,0,0.4,28.24,110.64,0,0.16,0,6.24,0.16,0,542,0,5.04,0,0,0,2.48,0.4,3.6,0,2.72,7.44,0,0.88,0,101.36,0.24,0,0.16,0,0,5.44,1.28,0.72,0,33.04,0.48,0,0.08,14,0,4.64,9.84,0.24,2.08,0.08,0,3.84,0.16,257.76,0.16,0,0,0,5.44,0,0,0.16,9.76,119519.2,20.8,23.12,0.4,0.16,0,591.6,5.2,0,482.8,0,0,37.2,0.64,0.16,0.08,0,0,0.16,0,10.56,30.8,0,768.48,3.84,0,12.96,33.12,0,4456.8,909.76,0.08,0.24,3.44,0,0,0,0.16,0,0,10.8,0,0.16,0,28.16,0,0,111.2,0.24,0,11.52,0,4.24,0.16,0.08,0.48,0.08,35.28,0,0,34.96,0.08,0,0,1.68,0.16,0,28.32,0,0,0,2432.72,0,6.96,0.24,0.08,2.32,21.28,1.68,1.04,0.64,2.56,38.16,64,0,0,0,6.72,0.16,46.88,0,0.96,0.4,0.08,0.64,2.16,0.24,2.88,0.72,150.56,51.04,0,0,0,0,1.12,0,0.08,0,0.72,0.24,0,23.6,0,1.36,0.24,0.08,0,0,0,30.56,0,0.08,0,0,0,58.32,0,0.16,118.4,144.88,0.64,0,0,0,0,0,0.32,0,0,1.36,1456.56,87.68,0,0,0,0.16,0,0.48,2446.48,42.64,0.32,0,0,0.56,0,0.16,0,0,314.08,112.56,0,62.24
0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.16,0.64,0,0,0,0,0,0,0.08,0,0,1.04,0,0,0,0,0,0,15.84,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,9.28,0,0,0,1.52,0,0,0,0,0.48,0,0,0.24,0,0,0,0,0,0.72,0,0,0,0,0,0,0,73.28,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,922.24,0,0,0.16,0,0,0,0,0,0,0.24,0,0
0,0,0,0,0,0,0,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72,0,0,0,0,0,0.32,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0.16,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0.24,0,0,0,0,0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,0,30.56,0,0,4,3.52,0,0,0,0.8,0,0,6.4,0,1.76,0,0,0.96,0.24,14.4,62.4,0,0.16,0,0.08,0.08,0,35.92,0.08,0,0.48,0.24,0,0,0.16,3.2,0,88.64,113.04,0,0,4.96,0,0,2.16,0,0.24,0.32,0,0.4,1.44,0,0,0,0.8,0,14.56,0,0,0,1.12,1475.84,3.76,0,8.24,0.48,0,27.84,0,0,13.6,0,0,0.16,0.08,0,0,0,0.64,0,0,1.44,4,0,98.4,4.72,0,0,3.52,0,0,30.96,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,2.72,0,0,0,0,1.28,0,0.48,0.32,2.8,0,0,0,0,0,0.16,0,1.12,0,0.08,0,0,0.8,0,0,0,0,0.96,8.56,1697.52,0,0.32,0.08,0,0.16,0.4,0.48,0,22.8,0,0,0,0.32,0,6,0,0.16,0,1.12,11.68,2.88,0,3222.16,0,0,0.4,0,0,0,0,0,0,0,47.52,0,0,0,2.64,2.16,0,0,0,0,0,1.2,568.72,0,0,0,0,0,17.2,0,5.12,12.48,4.96,0,0,0,1.6,0,0,0.16,0,0,0,0,0,0,0,0,0.8,0,0,257.76,25.28,3.76,0,0,10.4,0,0,0,0,0,0,2708.24,4.8
0,0,0,0,0,0,0,0.64,0,0,5.6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,0.96,23.28,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,2,1.36,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,67.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.36,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,0,0,0,0.24,0,0,0,0,0.4,0.24,0,0,0,0,0,15.6,0.24,0,0,0,0,0
0,0,0,0,0,0,1.92,0,0,0,1.2,0.32,0,0,2.48,0,0,21.84,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,17.52,0,0,0,0,10.56,44.48,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,8,4.72,0,0,0,0,2.64,2.08,0,0,0.4,0,0,9.28,0,0,0,0,0,0.24,8.16,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.24,0,0,0,0,0,19.92,0,0,16.96,0,0,0,0,14.24,0,0,0,0.08,0.24,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,20.48,6.16,2.32,0,0,0,0,0,0,0,0,0,0.08,0,0.16,0,0,124.8,0,0,0,0.88,0,0,0,0,0.72,7.28,0,0,0,0,0,58.8,25.84,0,0,0.16,0,0
0,0,0.08,0,1.92,0.16,0,0.32,0,0,0.64,34.72,3.68,0,2,0,0,1.6,0,33.6,0.56,0.32,0.24,0,798.08,0.16,0,1362.08,0,0.8,0,0.08,0.32,0.56,193.68,0.4,0,0,0.08,0,1019.12,0.64,113.44,0,3.6,0,0,16.24,0.88,0,28.8,2.08,0.32,69.44,0,0.08,64.72,80.32,1.76,9.44,0,0,0,0,0.4,0.16,0.96,7.84,85.36,0.8,0.32,0,0,0,141.36,0,0.4,5.28,0.08,0.08,0.16,3.2,21.36,0.24,0,16.4,0.32,2.48,0,18,0,0.8,1.2,0,1.52,4.8,0,105.2,1376.88,0.24,6.24,0.24,0,0,0,0,0,0,0.4,0,0,0,0.64,1.12,0.56,0,0.16,0,0.56,0,0.24,0,0,0.16,0,0,0,0,0.32,0,0.24,0,131.04,0.72,0,1.68,0,0,0,0.08,0.24,2.24,1.2,0.4,0,18.08,2.16,0.48,11.6,9.44,3.68,11.6,0,0,0,18.96,0.16,0,0,36.48,0.56,1965.04,310.16,9.04,0.32,11.52,31.36,3.6,0.08,0,0,0.16,0.08,0,0.32,0,0,0,0.72,0,1.28,0,0.72,0,0.08,0.08,0.08,0,53.76,1664.32,0,0,0.08,0,0,22,0.88,49.6,43.28,0.24,0,0,0.4,0,0,5.52,0,0,3.2,0.24,18.64,0,0,0,0,0,0.16,25.52,4426,1841.04,0,0.16,306.16,0,0,0,0,5.84,3.04,0,5.44
0,0.4,0,0,0,0,0,0,68.56,0,0,38.72,7.92,13443.76,0,0,0,0,0,15.12,0,0.16,0.24,0,0.48,0,0,58.72,0,71.52,0,1.36,0.24,1.12,159.76,0,0,2.96,3.44,0,2.64,4.96,0.56,0,226.96,0.72,0,0,0.88,0.4,0,11.44,2.64,16.64,0.24,0,0.16,0.48,4.32,0,0,0.64,0,3.92,0,0,0.08,2.08,14,0,0,0.32,0.16,3123.6,59.6,0.4,0,9.84,0,0,0,0.16,0,4.72,0,0.24,0,0,42.4,84.72,0,2.64,5.44,0,11.28,0.16,0,117.28,1.68,0,0.08,0,509.12,101.68,0,0.48,0.16,0,0.32,92,0.48,0,0.72,0,0.16,0.72,0,0,0.08,0.64,0,5.76,0,0,0,0.64,0.08,0,0,0,0,0,4.08,0,49.04,0,0,0,0,0,0.48,100.32,0,0,0,0.32,0,0,0.4,0,2,4,0,0,0,0.4,0,0.24,0,0,0,3.76,3.28,4.08,211.28,0,0,4,0,0.4,6799.68,1.52,0,0,0,0,0,0.08,0,0,0.24,0,0.08,0,1.04,0,0,0.96,6.4,0,0,0,0,0,54.48,0,0,8.4,4.08,0.48,0,123.44,7.36,22.16,0,2.96,0,0,0,0,20,255.68,0,0,1.92,1756.72,0,39.28,5599.28,11.44,664.32,0,4.56,0.24,0,0,0,2.56,87.2,0.08,1.12
