AFG,ALB,DZA,ASM,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHI,CHL,CHN,COL,COM,COD,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KSV,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NIU,NFK,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,REU,ROM,RUS,RWA,SHN,SPM,WSM,SMR,STP,SAU,SEN,SRB,SCG,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,KNA,LCA,VCT,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,WLF,PSE,YEM,ZMB,ZWE
0,0,"1,92",0,0,0,0,0,"1,08",0,0,"8,4","17,76",0,0,"7,32","14,28",0,0,"10,92",0,0,0,0,0,0,0,0,0,21,0,0,"0,48",0,"360,84",0,0,0,0,0,0,"0,96","0,12",0,"1,08",0,0,0,0,0,0,"1,2","0,24","1,44",0,0,"0,24",0,"458,28",0,0,0,0,0,"1,08",0,"0,84","0,24","21,24",0,0,0,0,0,"30,72","0,72",0,"3,12",0,0,0,"1,44",0,0,0,0,0,0,"7,92","13,92",0,477,"1,8",9009,24,"0,84",0,"2,28","26,88",0,"0,6","5,88",0,"7,92",0,0,0,0,"158,76",0,0,0,"5,88",0,0,27,0,0,"0,12","0,12",0,0,0,"0,84","0,6",0,0,"0,12",0,0,0,0,"1,92",0,0,0,0,0,0,"2,4",0,"1,32",0,"0,24","2,16",0,0,"0,12","8,88","2,16",0,0,0,0,0,0,"13,92","3354,84",0,0,0,0,"0,12","0,96","0,24","0,36",0,"31,32",0,0,0,0,0,0,0,0,0,"106,44",0,0,"0,36",0,0,"0,48",0,0,0,0,"0,24",0,3,0,0,0,"0,48",0,0,"4,68","15,24","813,24",0,0,"2,52","0,6",0,0,0,0,0,"1,08","308,76",0,0,0,"0,12",0,"91,08",6,"24,84",0,0,"0,36",0,0,0,0,0,"5,52","190,56",0,"0,12"
0,0,"0,72",0,"0,36","0,24",0,0,"2,76",0,0,183,"276,36",0,0,"0,12","0,24",0,0,"96,48",0,"0,48","0,36",0,"0,72","13,08",0,0,0,"10,8",0,"0,24","0,6","0,96","207,96","1,08",0,"0,84",0,0,"8,88","0,12",0,0,"82,2","2,16",0,"0,6","5,28","127,44","0,6","0,12","1,44","6,84",0,0,"0,96",0,"9,36",0,0,0,0,"1,44",0,0,"0,24","4,8","829,32",0,0,"0,48",0,0,"310,44","1,44","0,24","488,88",0,0,"0,12","0,24","0,72","2,28",0,0,0,0,"1,44","68,88","0,24","5,64","3,48",0,"0,6","1,08",0,"4,08","1364,88",0,0,"1,2",0,"0,6",0,0,0,0,"1,44",0,"0,24",0,0,0,0,0,0,0,"4,2",0,"22,92",0,0,"0,12",0,0,0,0,0,0,0,0,"3,96","0,24",0,"0,96",0,0,0,0,0,"1,08",0,0,0,"37,2",0,0,"0,96","2,52","3,12","4,8",0,0,0,"2,88",0,"1,56",0,0,"0,24",0,"1,08","9,12","12,84","1,56",0,"0,24",0,"161,4",0,"1,8",0,0,0,0,0,"0,48","0,24",0,"126,36",0,"0,24",0,"0,6","37,08",0,0,"11,28","16,92",0,0,0,0,"0,12",0,0,"9,96","17,4","2,16",0,0,"1,08","8,76",0,"4,56",0,0,"0,12",0,"388,8",0,0,0,0,0,"0,36","767,52","1303,8",0,0,0,0,0,"0,12",0,0,"2,4","1,56",0,"0,84"
"3,6",0,0,0,"0,12","0,48",0,"0,24","4,08",0,"0,6","42,36","165,96",0,"0,24",0,"9,36","0,24",0,813,0,"7,56",0,0,0,"3,72","0,6","5,4",0,"4,08","11,16",0,"1,32",0,"152,04","0,36",0,"0,24",0,0,"8,16","1,92","1,08",0,"49,56","0,72",0,"0,12",21,0,"6,96","14,76","0,36","3,12","0,12",0,"5,76","0,24","386,64","0,24",0,0,0,"8,16",0,0,"0,24","14,64","179278,8","31,2","34,68","0,6","0,24",0,"887,4","7,8",0,"724,2",0,0,"55,8","0,96","0,24","0,12",0,0,"0,24",0,"15,84","46,2",0,"1152,72","5,76",0,"19,44","49,68",0,"6685,2","1364,64","0,12","0,36","5,16",0,0,0,"0,24",0,0,"16,2",0,"0,24",0,"42,24",0,0,"166,8","0,36",0,"17,28",0,"6,36","0,24","0,12","0,72","0,12","52,92",0,0,"52,44","0,12",0,0,"2,52","0,24",0,"42,48",0,0,0,"3649,08",0,"10,44","0,36","0,12","3,48","31,92","2,52","1,56","0,96","3,84","57,24",96,0,0,0,"10,08","0,24","70,32",0,"1,44","0,6","0,12","0,96","3,24","0,36","4,32","1,08","225,84","76,56",0,0,0,0,"1,68",0,"0,12",0,"1,08","0,36",0,"35,4",0,"2,04","0,36","0,12",0,0,0,"45,84",0,"0,12",0,0,0,"87,48",0,"0,24","177,6","217,32","0,96",0,0,0,0,0,"0,48",0,0,"2,04","2184,84","131,52",0,0,0,"0,24",0,"0,72","3669,72","63,96","0,48",0,0,"0,84",0,"0,24",0,0,"471,12","168,84",0,"93,36"
0,0,0,0,0,0,0,0,0,0,0,"0,36",0,0,0,0,0,0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,8",0,0,0,0,0,0,0,0,0,"0,6",0,0,0,0,0,0,0,0,0,0,0,"0,36",0,0,0,0,0,0,0,0,0,"1,44",0,0,0,0,0,0,0,"1,2",0,0,0,0,0,"0,24","0,96",0,0,0,0,0,0,"0,12",0,0,"1,56",0,0,0,0,0,0,"23,76",0,0,0,0,0,"0,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2","0,24",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,12","13,92",0,0,0,"2,28",0,0,0,0,"0,72",0,0,"0,36",0,0,0,0,0,"1,08",0,0,0,0,0,0,0,"109,92",0,0,0,0,0,0,0,0,0,0,0,"0,6",0,0,0,0,0,0,0,0,0,0,0,"2,52",0,0,0,0,0,0,0,0,0,"0,24",0,0,0,0,0,0,0,0,0,"1383,36",0,0,"0,24",0,0,0,0,0,0,"0,36",0,0
0,0,0,0,0,0,0,0,"0,48",0,0,0,"0,48",0,0,0,0,0,0,"0,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,08",0,0,0,0,0,0,0,0,0,"0,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,08",0,0,0,0,0,"0,48",0,0,"0,12",0,0,0,0,0,0,0,0,0,0,0,"1,92",0,0,0,0,0,0,0,0,"2,16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,8","0,24",0,0,0,0,0,0,0,0,"1,56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,24","0,36",0,0,0,0,0,0,0,0,0,0,0,0
"0,48",0,0,0,0,0,0,0,"45,84",0,0,6,"5,28",0,0,0,"1,2",0,0,"9,6",0,"2,64",0,0,"1,44","0,36","21,6","93,6",0,"0,24",0,"0,12","0,12",0,"53,88","0,12",0,"0,72","0,36",0,0,"0,24","4,8",0,"132,96","169,56",0,0,"7,44",0,0,"3,24",0,"0,36","0,48",0,"0,6","2,16",0,0,0,"1,2",0,"21,84",0,0,0,"1,68","2213,76","5,64",0,"12,36","0,72",0,"41,76",0,0,"20,4",0,0,"0,24","0,12",0,0,0,"0,96",0,0,"2,16",6,0,"147,6","7,08",0,0,"5,28",0,0,"46,44",0,0,0,0,0,0,0,0,0,0,0,"0,36",0,0,"4,08",0,0,0,0,"1,92",0,"0,72","0,48","4,2",0,0,0,0,0,"0,24",0,"1,68",0,"0,12",0,0,"1,2",0,0,0,0,"1,44","12,84","2546,28",0,"0,48","0,12",0,"0,24","0,6","0,72",0,"34,2",0,0,0,"0,48",0,9,0,"0,24",0,"1,68","17,52","4,32",0,"4833,24",0,0,"0,6",0,0,0,0,0,0,0,"71,28",0,0,0,"3,96","3,24",0,0,0,0,0,"1,8","853,08",0,0,0,0,0,"25,8",0,"7,68","18,72","7,44",0,0,0,"2,4",0,0,"0,24",0,0,0,0,0,0,0,0,"1,2",0,0,"386,64","37,92","5,64",0,0,"15,6",0,0,0,0,0,0,"4062,36","7,2"
0,0,0,0,0,0,0,"0,96",0,0,"8,4",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,44",0,0,0,0,"1,44","34,92",0,0,0,0,0,0,0,0,0,0,0,0,"0,12",0,0,0,0,0,0,0,0,0,3,"2,04",0,0,0,0,0,"0,84",0,0,0,0,0,0,0,0,0,0,0,0,"3,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,28",0,0,0,0,0,0,0,"100,68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38,04","1,56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,8",0,0,0,"0,36",0,0,0,0,"0,6","0,36",0,0,0,0,0,"23,4","0,36",0,0,0,0,0
0,0,0,0,0,0,"2,88",0,0,0,"1,8","0,48",0,0,"3,72",0,0,"32,76",0,0,0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,"19,44",0,0,0,0,0,0,0,0,0,"0,24",0,0,0,0,0,"26,28",0,0,0,0,"15,84","66,72",0,0,0,0,0,0,0,0,0,0,0,0,"0,36",0,0,0,0,0,0,0,0,0,12,"7,08",0,0,0,0,"3,96","3,12",0,0,"0,6",0,0,"13,92",0,0,0,0,0,"0,36","12,24",0,0,0,0,0,0,0,0,0,0,"0,12",0,0,0,"0,12",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,24",0,0,0,"0,36",0,0,0,0,0,"29,88",0,0,"25,44",0,0,0,0,"21,36",0,0,0,"0,12","0,36",0,0,0,0,0,0,0,0,0,0,0,"11,04",0,0,"17,64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,24",0,0,"30,72","9,24","3,48",0,0,0,0,0,0,0,0,0,"0,12",0,"0,24",0,0,"187,2",0,0,0,"1,32",0,0,0,0,"1,08","10,92",0,0,0,0,0,"88,2","38,76",0,0,"0,24",0,0
0,0,"0,12",0,"2,88","0,24",0,"0,48",0,0,"0,96","52,08","5,52",0,3,0,0,"2,4",0,"50,4","0,84","0,48","0,36",0,"1197,12","0,24",0,"2043,12",0,"1,2",0,"0,12","0,48","0,84","290,52","0,6",0,0,"0,12",0,"1528,68","0,96","170,16",0,"5,4",0,0,"24,36","1,32",0,"43,2","3,12","0,48","104,16",0,"0,12","97,08","120,48","2,64","14,16",0,0,0,0,"0,6","0,24","1,44","11,76","128,04","1,2","0,48",0,0,0,"212,04",0,"0,6","7,92","0,12","0,12","0,24","4,8","32,04","0,36",0,"24,6","0,48","3,72",0,27,0,"1,2","1,8",0,"2,28","7,2",0,"157,8","2065,32","0,36","9,36","0,36",0,0,0,0,0,0,"0,6",0,0,0,"0,96","1,68","0,84",0,"0,24",0,"0,84",0,"0,36",0,0,"0,24",0,0,0,0,"0,48",0,"0,36",0,"196,56","1,08",0,"2,52",0,0,0,"0,12","0,36","3,36","1,8","0,6",0,"27,12","3,24","0,72","17,4","14,16","5,52","17,4",0,0,0,"28,44","0,24",0,0,"54,72","0,84","2947,56","465,24","13,56","0,48","17,28","47,04","5,4","0,12",0,0,"0,24","0,12",0,"0,48",0,0,0,"1,08",0,"1,92",0,"1,08",0,"0,12","0,12","0,12",0,"80,64","2496,48",0,0,"0,12",0,0,33,"1,32","74,4","64,92","0,36",0,0,"0,6",0,0,"8,28",0,0,"4,8","0,36","27,96",0,0,0,0,0,"0,24","38,28",6639,"2761,56",0,"0,24","459,24",0,0,0,0,"8,76","4,56",0,"8,16"
0,"0,6",0,0,0,0,0,0,"102,84",0,0,"58,08","11,88","20165,64",0,0,0,0,0,"22,68",0,"0,24","0,36",0,"0,72",0,0,"88,08",0,"107,28",0,"2,04","0,36","1,68","239,64",0,0,"4,44","5,16",0,"3,96","7,44","0,84",0,"340,44","1,08",0,0,"1,32","0,6",0,"17,16","3,96","24,96","0,36",0,"0,24","0,72","6,48",0,0,"0,96",0,"5,88",0,0,"0,12","3,12",21,0,0,"0,48","0,24","4685,4","89,4","0,6",0,"14,76",0,0,0,"0,24",0,"7,08",0,"0,36",0,0,"63,6","127,08",0,"3,96","8,16",0,"16,92","0,24",0,"175,92","2,52",0,"0,12",0,"763,68","152,52",0,"0,72","0,24",0,"0,48",138,"0,72",0,"1,08",0,"0,24","1,08",0,0,"0,12","0,96",0,"8,64",0,0,0,"0,96","0,12",0,0,0,0,0,"6,12",0,"73,56",0,0,0,0,0,"0,72","150,48",0,0,0,"0,48",0,0,"0,6",0,3,6,0,0,0,"0,6",0,"0,36",0,0,0,"5,64","4,92","6,12","316,92",0,0,6,0,"0,6","10199,52","2,28",0,0,0,0,0,"0,12",0,0,"0,36",0,"0,12",0,"1,56",0,0,"1,44","9,6",0,0,0,0,0,"81,72",0,0,"12,6","6,12","0,72",0,"185,16","11,04","33,24",0,"4,44",0,0,0,0,30,"383,52",0,0,"2,88","2635,08",0,"58,92","8398,92","17,16","996,48",0,"6,84","0,36",0,0,0,"3,84","130,8","0,12","1,68"
