From row/To column;AFG;ALB;DZA;ASM;AND;AGO;AIA;ATG;ARG;ARM;ABW;AUS;AUT;AZE;BHS;BHR;BGD;BRB;BLR;BEL;BLZ;BEN;BMU;BTN;BOL;BIH;BWA;BRA;BRN;BGR;BFA;BDI;KHM;CMR;CAN;CPV;CYM;CAF;TCD;CHI;CHL;CHN;COL;COM;COD;COG;COK;CRI;CIV;HRV;CUB;CYP;CZE;DNK;DJI;DMA;DOM;ECU;EGY;SLV;GNQ;ERI;EST;ETH;FRO;FLK;FJI;FIN;FRA;GUF;PYF;GAB;GMB;GEO;DEU;GHA;GIB;GRC;GRL;GRD;GLP;GUM;GTM;GIN;GNB;GUY;HTI;HND;HKG;HUN;ISL;IND;IDN;IRN;IRQ;IRL;IMY;ISR;ITA;JAM;JPN;JOR;KAZ;KEN;KIR;PRK;KOR;KSV;KWT;KGZ;LAO;LVA;LBN;LSO;LBR;LBY;LIE;LTU;LUX;MAC;MKD;MDG;MWI;MYS;MDV;MLI;MLT;MHL;MTQ;MRT;MUS;MYT;MEX;FSM;MDA;MCO;MNG;MNE;MSR;MAR;MOZ;MMR;NAM;NRU;NPL;NLD;ANT;NCL;NZL;NIC;NER;NGA;NIU;NFK;MNP;NOR;OMN;PAK;PLW;PAN;PNG;PRY;PER;PHL;POL;PRT;PRI;QAT;REU;ROM;RUS;RWA;SHN;SPM;WSM;SMR;STP;SAU;SEN;SRB;SCG;SYC;SLE;SGP;SVK;SVN;SLB;SOM;ZAF;ESP;LKA;KNA;LCA;VCT;SDN;SUR;SWZ;SWE;CHE;SYR;TWN;TJK;TZA;THA;TLS;TGO;TKL;TON;TTO;TUN;TUR;TKM;TCA;TUV;UGA;UKR;ARE;GBR;USA;URY;UZB;VUT;VEN;VNM;VIR;VGB;WLF;PSE;YEM;ZMB;ZWE
BLZ;0;0;0;0;0;0;1;3;5;0;5;11;1;0;51;0;0;8;0;0;0;0;8;0;15;0;0;79;0;0;0;0;0;0;413;0;32;0;0;0;15;0;5;0;0;0;0;0;0;0;22;0;0;6;0;2;120;2;0;1;0;0;0;0;0;0;0;7;75;46;0;0;0;0;0;0;0;0;0;4;3;0;1054;0;0;3;2;21;0;13;0;0;0;0;0;4;0;0;2;392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1237;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;38;0;2;0;0;0;3;0;0;0;118;0;0;4;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;113;0;0;2;0;0;8;0;11;0;0;0;0;0;0;0;0;0;0;111;0;0;0;0;0;0;0;0;15557;10456;4;0;0;0;0;0;0;0;0;0;0;0
BEN;1;0;0;0;0;0;0;0;0;0;0;2;9;0;0;0;4;0;0;17;0;0;0;0;0;0;0;0;0;1;1222;3;0;707;66;201;0;56;8;0;0;0;0;0;3438;1021;0;0;30874;0;0;10;0;0;12;0;5;0;11;0;0;8;0;564;0;0;0;0;672;0;0;4362;18;0;71;11013;0;35;0;0;1;0;0;115;3;0;0;0;6;17;0;448;0;0;0;2;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;8;0;0;0;1459;0;0;2;71;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5764;25911;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;301;0;1;0;204;0;0;0;0;11;4;0;0;0;0;0;645;0;0;6;12;0;0;0;1;0;0;56908;0;0;0;0;0;0;0;0;30;0;0;117;48;0;0;0;0;0;0;0;0;0;0;0;22
BMU;0;0;0;0;0;0;0;0;0;0;2;62;0;0;70;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;109;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;7;0;0;0;0;0;0
BTN;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;189;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;0;0;0;0;0;0;0;0;0;0;0;0
BOL;0;0;0;0;0;0;0;0;102092;0;0;27;7;0;0;0;0;1;0;0;2;0;0;0;0;0;0;10595;0;1;0;2;2;8;689;0;0;0;2;0;7135;5;345;0;5;0;0;56;0;0;106;2;0;8;0;0;107;526;2;24;0;0;0;0;5;0;0;9;96;11;0;0;0;0;153;0;0;10;0;0;0;2;66;0;0;233;0;8;0;68;0;6;13;0;0;5;0;14;397;0;51;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;24;1;0;0;0;2;0;2;30;0;2;0;0;0;13;0;0;0;94;0;14;3731;51;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;3;0;0;0;0;0;3;146;0;0;0;0;0;13;0;321;73;0;0;0;5;0;0;0;0;0;3;0;2;0;0;0;0;0;0;2;8903;1346;0;0;1399;0;0;0;0;0;0;0;0
BIH;0;40;2;0;2;4;0;0;192;0;0;10875;91697;0;0;0;6;0;0;1018;0;3;12;0;2;0;0;72;0;20;3;6;17;29;10270;7;0;0;3;0;16;5;6;0;6;0;0;0;34;621;0;251;2491;66;0;0;2;0;15;0;0;0;0;0;0;0;30;46;7960;0;1;0;0;0;91947;41;2;48;0;0;0;22;1;15;0;0;0;0;39;15733;3;158;0;0;6;47;0;37;4472;0;0;11;0;16;0;0;2;0;8;0;0;0;0;0;0;0;0;0;40;0;16;0;0;4;0;1;12;0;0;0;0;0;151;24;0;28;0;0;0;0;0;0;3;0;2;379;0;6;282;0;20;31;0;0;0;0;0;45;0;5;16;0;6;6;26922;15;0;2;0;593;0;0;0;0;0;0;0;3;8;0;90;0;6;2;986;628;0;0;171;163;0;0;0;0;4;0;0;13059;3371;12;0;0;32;0;0;30;0;1;0;13;3369;0;0;0;0;0;2;7627;53277;14;0;2;42;0;0;0;0;22;14;149;16
BWA;1;0;0;0;0;167;0;0;0;0;0;70;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;5;9;0;335;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;10;0;861;0;1;0;0;3;17;0;0;11;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;49207;0;0;0;0;0;7;0;103;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154;89;0;0;0;0;0;0;0;0;0;0;1348;439
BRA;0;0;0;0;1;2;0;0;45225;0;1;190;61;0;30;0;0;3;0;435;4;33;4;0;7311;1;0;0;0;7;0;2;3;12;2548;46;3;0;3;0;891;382;1909;0;433;1;0;55;96;0;6;16;2;81;0;0;280;431;18;1;0;0;0;7;9;0;3;86;932;1538;1;5;0;0;3051;0;4;87;1;0;9;12;109;32;0;270;0;18;0;280;0;9;78;0;8;52;0;517;11423;0;3964;10;0;0;0;40;0;0;30;0;0;0;3;17;4;0;3;0;7;0;3;0;0;2;0;0;0;0;6;220;3;0;578;3;0;7;13;0;0;0;42;143;19;1;0;546;5;2;14;88;410;1299;0;0;0;148;2;0;0;256;2;30531;2604;56;2;4941;4;18;3;0;0;15;0;0;1;0;0;0;5;0;14;0;5;0;0;0;0;0;470;7429;0;0;0;0;1;1084;10;144;734;4;0;0;8;0;0;616;0;0;8;6;94;0;0;0;0;0;3;179;34273;17292;0;0;2317;0;2;0;0;29;15;0;48
BRN;11;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;586;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;253;0;0;188;45;0;24;0;0;2;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;4;0;0;0;384;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;34;0;0;5;0;0;0;55;0;0;0;0;0;0;0;0;2472;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;710;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;6;189;0;0
BGR;0;8;28;0;0;9;0;0;296;0;0;1570;216;0;0;131;5;0;0;266;0;3;3;0;10;95;0;834;0;0;3;0;14;0;1808;6;0;0;0;0;83;4;21;0;3;0;0;4;28;957;10;16;162;14;0;0;105;5;47;0;0;0;0;0;5;0;4;10;1699;0;0;0;0;0;1341;33;0;200;0;0;3;3;12;12;0;2;0;1;32;14128;0;130;29;65;732;30;0;42257;1065;0;1;1155;0;0;0;0;2;0;1454;0;2;0;289;0;0;149;0;0;9;0;165;0;1;3;0;0;4;0;2;0;1;0;35;3;0;3;0;0;0;3;69;9;13;0;2;76;0;0;157;56;16;25;0;0;0;300;84;37;0;0;14;0;34;75;1885;3;2;1544;0;55311;0;0;1;0;0;0;0;490;7;0;909;0;5;2;64;272;0;0;192;35;0;0;0;0;0;0;1;751;253;2288;0;0;0;72;0;24;0;0;3;334;313509;0;0;0;0;0;315;1573;10196;12;0;0;277;0;2;0;0;2876;1837;2;29
BFA;19;0;0;0;0;1;0;0;1;0;1;3;6;0;0;0;50;0;0;12;0;2027;0;0;0;0;2;2;0;0;0;0;7;346;66;2295;0;2;1;0;0;11;0;0;373;6;0;0;622326;0;9;1;0;0;2;0;4;0;62;0;0;0;0;61;0;0;0;0;340;0;0;585;2;0;50;105154;0;25;0;0;36;0;0;1316;55;0;0;0;84;5;0;6161;0;0;1;0;0;105;55;0;11;0;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;3;0;29682;0;0;54;807;0;0;0;0;0;2;0;0;0;0;0;0;1;0;19;0;7;0;0;0;7499;2001;0;0;0;0;0;376;0;0;0;0;0;3;0;0;1;4;0;0;0;0;0;0;0;0;0;0;4792;0;0;0;27;2;0;0;0;0;41;0;2;0;0;0;83;0;0;3;9;0;0;0;0;0;0;6660;0;0;3;0;14;0;0;0;4;0;0;59;49;0;0;0;0;0;0;0;0;4;18;0;238
BDI;3;0;0;0;0;1;0;0;0;0;0;5;3;0;0;0;9;0;0;346;0;6;0;0;0;0;0;1;0;0;0;0;1;56;128;0;0;151;289;0;0;2;0;4;29403;441;0;0;18;0;0;1;0;0;449;0;0;0;11;0;6;855;0;4828;0;0;0;0;108;0;0;310;157;0;20;10;0;10;0;0;0;0;0;0;0;0;0;0;16;5;0;1104;0;0;0;0;0;0;23;0;0;0;0;534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;2;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;82;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;21181;0;0;0;0;3;0;0;0;0;0;7;0;0;0;0;1255;38;0;0;0;0;0;23869;0;0;0;4;0;0;0;77114;0;0;0;0;0;0;0;0;0;0;0;76513;0;0;19;50;0;0;0;0;0;0;0;0;0;0;0;232
KHM;3;0;0;0;0;0;0;0;4;0;0;236;438;0;0;0;30;0;0;273;0;0;3;0;0;0;0;0;0;5;0;1;0;0;2529;0;0;0;1;0;0;6;0;0;53;0;0;0;2;0;6;0;0;31;0;0;34;0;1;0;0;0;0;0;0;0;25;5;451;0;5;0;0;0;741;9;0;72;0;0;0;42;0;0;0;0;0;0;6;7;0;854;804;0;0;18;0;0;668;1;54;0;0;109;0;0;0;0;0;0;1287;0;0;0;2;0;0;0;3;4;1;5;0;11;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;615;0;8;30;0;4;167;247;0;1;3;0;0;0;3;0;76;0;0;2;0;0;293;0;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;7;0;1;6;0;0;0;1;9;0;0;0;0;0;7;0;0;100;376;0;0;0;8;9019;0;2;0;0;0;0;0;0;0;0;2;0;0;128;858;0;0;12;0;16;0;0;0;0;0;0;0
CMR;0;0;0;0;0;1;0;0;3;0;0;8;39;0;0;0;2;0;0;72;0;748;0;0;0;0;0;3;0;0;4;11;0;0;593;21;0;5921;25379;0;0;0;0;0;5099;1078;0;0;2069;0;2;6;0;0;37;0;3;0;16;0;349;8;0;837;0;0;0;1;1921;7;0;4114;27;0;310;96;0;154;0;0;9;0;0;11;0;0;0;0;3;33;0;237;0;0;0;5;0;0;337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;15;0;0;0;21;0;0;19;8;0;4;4;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;251;11048;0;0;0;69;0;14;0;0;0;0;0;0;0;2;0;0;28;0;0;4;0;0;0;0;0;0;5;0;3;0;10;0;0;0;0;12;39;0;0;0;0;0;1965;0;0;16;54;0;0;0;4;0;0;53;0;0;1;15;0;0;0;0;92;0;0;336;463;0;0;0;0;0;0;0;0;0;0;0;240
CAN;4;2;2;1;0;6;0;248;81;0;88;10064;2845;0;1987;0;56;305;0;1742;547;35;1222;10;1186;96;2;1080;2;26;0;56;196;52;0;48;60;0;17;0;334;146;457;0;1789;5;0;91;103;927;89;168;24;1689;2;38;1347;24;231;64;0;2;0;29;5;0;81;462;1887;46;34;26;1;0;5835;10;8;58;11;49;59;356;195;257;0;374;346;26;634;776;126;814;98;0;2;1211;0;67;8265;1526;678;20;0;86;0;15;57;0;49;0;0;0;0;55;166;69;2;0;24;17;167;0;58;58;0;5;0;0;72;0;96;0;3734;33;0;21;20;0;41;3;14;179;56;18;21;843;110;20;4904;118;438;1159;0;0;0;1411;7;418;0;128;264;1344;745;348;24;619;230;4;5;4;0;62;4;164;8;0;0;2;2;0;921;31;30;32;9;270;6;3;1772;2848;46;48;77;79;43;11;27;758;2159;10;0;0;278;654;0;658;0;2;314;63;22;0;1;0;0;0;7;69131;964010;61;0;6;849;2;222;46;0;7;39;421;421
CPV;1;0;0;0;0;9840;0;0;2;0;0;2;68;0;0;0;3;0;0;125;0;39;0;0;0;0;6;3;0;0;1;1;0;1003;1571;0;0;5;3;0;0;0;0;0;1013;15;0;0;124;0;0;2;0;0;5;0;0;0;3;0;0;0;0;166;0;0;0;4;4913;0;0;62;5;0;541;2;0;265;0;0;0;0;0;8;83;0;0;0;5;17;0;379;0;0;0;12;0;6;602;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;10;0;0;4;0;2;4;1;0;0;7;0;0;0;5;0;0;10;0;0;3;0;0;0;0;49;0;4;0;1;1061;0;0;0;0;14;426;0;0;0;12;0;23;0;0;0;0;0;0;0;7484;0;0;0;0;0;0;0;0;0;0;5389;0;2;0;9;0;5;0;0;0;0;0;140;0;0;0;0;0;242;0;2;42;96;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;11;0;2;858;1387;0;0;0;0;0;0;0;0;0;1;0;804
CYM;0;0;0;0;0;0;0;0;0;0;3;0;0;0;39;0;0;7;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;2;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;7;8;0;0;0;0;0;20;0;0;0;0;0;0
CAF;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;7;0;12779;58;0;0;0;6606;0;0;0;0;0;5560;5364;0;0;0;0;0;2;0;0;25;0;2;0;22;0;1;57;0;912;0;0;0;0;467;0;0;244;30;0;35;19;0;17;0;0;0;0;0;0;0;0;0;0;1;6;0;87;0;0;0;1;0;0;38;0;0;0;0;3436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;4;0;0;0;0;0;3;5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;84;2;0;0;0;0;0;1309;0;0;4;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;61;0;0;82;46;0;0;0;0;0;0;0;0;0;0;0;12
TCD;0;0;2;0;0;0;0;0;1;0;0;4;3;0;0;7;2;0;0;5;0;346;0;0;0;0;0;2;0;0;2;30;0;42708;59;10;0;9148;0;0;0;0;0;0;20441;776;0;0;958;0;0;4;0;0;107;0;0;0;128;0;4;8;0;3367;0;0;0;0;319;0;0;582;110;0;21;44;0;10;0;0;0;0;0;5;0;0;0;0;4;24;0;281;3;1;0;0;0;0;23;0;0;1;0;0;0;0;0;0;79;0;0;0;0;0;0;3;0;0;0;0;0;61;0;0;0;9;0;0;0;3;0;12;0;0;0;0;0;0;0;3;0;6;0;0;0;0;0;0;0;0;748;3453;0;0;0;0;14;17;0;0;0;0;0;2;0;0;0;4;0;0;0;17;0;0;0;0;2;578;2;0;0;0;4;0;0;0;0;12;0;0;0;0;0;0;5673;0;0;3;4;45;0;0;13;0;0;25;0;0;0;1;0;0;0;0;267;0;39;56;35;0;0;0;0;0;0;0;0;0;0;0;2
CHI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CHL;0;0;0;0;7;0;0;3;163943;0;5;992;38;0;16;0;0;13;0;324;9;3;2;0;6367;1;0;2032;0;4;0;3;4;14;1554;4;0;0;3;0;0;0;1279;0;27;0;0;449;9;0;23;7;0;56;0;0;576;3413;14;175;0;0;0;0;0;10;25;59;646;15;8;0;0;0;1517;0;3;54;0;0;1;86;267;3;0;313;2;41;0;84;0;10;2;0;1;36;0;69;2367;2;4;4;0;0;0;0;0;0;3;0;0;0;0;3;3;0;2;0;5;0;2;0;0;2;0;0;0;0;3;0;0;0;876;20;0;3;0;0;0;0;0;5;3;11;0;336;17;12;105;92;38;122;0;0;0;118;0;0;0;581;15;346;6861;14;1;3;245;2;0;0;0;0;0;0;9;0;0;0;4;0;10;0;4;1;0;0;2;0;36;6466;0;0;0;0;1;37;1;178;437;0;0;0;9;0;0;58;0;1;27;0;13;0;0;0;0;0;0;142;19695;1805;0;4;2987;0;0;0;0;4;2;0;0
CHN;32;16;2;5;0;44;0;20;5143;0;182;20051;820;0;84;0;84;18;0;804;96;12;22;251;59;2;3;8117;4750;253;0;22;6910;18;62157;2;0;2;56;0;688;0;673;0;20099;63;0;298;69;2;8144;72;17;669;3;7;2036;485;193;139;4;77;0;346;0;0;193;15;1272;321;490;32;17;0;1528;304;0;132;7;7;21;244;507;43;0;75;16;97;16823;14789;0;5986;1084464;1;15;53;0;1;4177;1558;53719;0;0;1663;43;1066;26286;0;10;0;3799;0;0;6;131;27;0;0;9;24899;3;5978;14;411602;1;349;4;6;52;0;2672;0;1873;139;0;13;1340;0;0;2;161;122471;69;60;1531;1478;364;79;4083;35;157;320;0;0;2;477;0;1858;13;2306;1022;13;3729;105959;17;62;93;2;792;3;0;273;0;0;40;0;1;11;23;0;19;132;219;243677;7;0;238;113;1937;0;869;2;6;4;75;863;40;290;706;50;0;0;121;286877;219;237;1;7;179;22;11;0;0;23;31;0;6;14293;220531;209;0;91;2969;3027;43;7;0;3;120;261;174
COL;0;0;0;0;0;0;0;24;5267;0;1003;175;68;0;79;0;0;108;0;2;82;0;9;0;1023;2;0;877;0;3;0;7;9;34;6549;0;11;0;7;0;769;3;0;0;42;0;0;581;1;0;231;6;0;91;0;7;1693;23428;10;214;0;0;0;0;9;0;3;98;1063;33;0;0;0;0;1567;0;5;97;3;8;9;9;422;0;0;686;20;378;0;181;0;26;5;0;1;59;0;72;4095;13;31;2;0;0;0;0;0;0;2;0;0;0;0;3;8;0;3;0;7;0;3;0;0;5;0;0;0;0;23;0;0;0;1231;2;0;0;0;0;0;0;0;10;3;1;0;700;1421;1;11;190;5;16;0;0;0;55;0;2;0;14728;2;41;1441;24;0;5;997;3;0;0;0;1;0;0;0;0;0;0;11;0;16;0;10;3;0;0;0;0;11;1624;0;3;8;0;3;6;0;162;756;0;0;0;21;0;0;8;0;0;217;0;13;0;0;0;0;0;0;50;82450;3957;0;0;173628;0;2;0;0;4;2;0;0
COM;0;0;2;0;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0;13;0;2;0;0;0;0;0;0;0;0;0;8;0;4;23;0;0;32;19;0;0;0;0;0;6322;95;0;0;5;0;0;0;0;0;30;0;0;0;38;0;1;291;0;1041;0;0;0;0;658;8;3;67;34;0;55;0;0;27;0;0;1;0;0;0;0;0;0;0;2;8;0;108;1;0;0;2;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;25797;0;0;0;0;0;0;2;0;0;1953;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;30;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;427;11;0;0;0;0;0;1580;0;0;6;10;0;0;0;13;0;0;0;0;0;0;1;0;0;0;0;74;0;0;115;19;0;0;0;0;0;0;0;0;0;0;0;64
COD;5;0;0;0;0;4174;0;0;8;0;0;41;69;0;0;0;12;0;0;5350;0;2;0;0;0;0;54;10;0;3;0;20351;2;266;864;0;0;4140;301;0;0;3;2;4;0;15994;0;0;5;0;0;58;2;0;464;0;2;0;17;0;8;945;0;5318;0;0;0;3;3602;0;0;1093;185;0;559;1;0;279;0;0;0;0;0;0;0;0;0;0;21;30;0;1461;10;0;0;9;0;0;602;0;4;0;0;477;0;0;0;0;0;0;0;0;0;10;0;0;0;0;3;0;1;113;18;0;0;0;0;0;0;0;4;52;5;0;0;2;0;0;0;0;7;18;36;0;4;162;0;1;4;14;0;21;0;0;0;2;0;89;0;2;0;0;2;439;2;634;0;0;2;0;0;5980;0;0;0;0;4;0;0;0;6;8;0;0;0;0;0;1387;977;0;0;0;0;0;24823;0;33;30;96;0;0;0;768;0;0;0;0;0;0;0;0;0;0;0;151390;0;0;629;486;0;0;0;2;0;0;0;0;0;0;6785;208
COG;0;0;0;0;0;1151;0;0;3;0;0;16;17;0;0;0;2;0;0;33;0;25;0;0;0;0;30;3;0;10;12;6;0;2166;81;1;0;577;586;0;0;0;0;0;8118;0;0;0;68;0;0;267;2;0;22;0;0;0;10;0;2;93;0;1333;0;0;0;1;1827;0;0;1343;43;0;140;266;0;69;0;0;1;0;0;0;0;0;0;0;3;56;0;217;0;0;0;4;0;4;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;31;8;0;0;57;0;0;2;0;2;2;0;0;0;15;0;0;0;0;4;0;20;0;0;0;0;0;2;5;0;312;0;0;0;56;0;13;0;1;0;0;0;0;2;134;0;0;1;0;0;7;0;0;0;0;6;0;14;0;3;4;26;0;0;0;0;137;396;0;0;0;0;0;1143;0;16;15;24;0;0;0;16504;0;0;2;0;0;0;34;0;0;0;0;53;0;0;319;60;0;0;0;0;0;0;0;0;0;0;18150;5890
COK;0;0;0;7;0;0;0;0;0;0;0;78;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;130;0;0;0;2;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;2;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;14;7346;0;0;0;25;0;0;0;0;9;3;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;52;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;6;0;0;24;0;0;0;0;0;0;4;0;0
