From row/To column;AFG;ALB;DZA;ASM;AND;AGO;AIA;ATG;ARG;ARM;ABW;AUS;AUT;AZE;BHS;BHR;BGD;BRB;BLR;BEL;BLZ;BEN;BMU;BTN;BOL;BIH;BWA;BRA;BRN;BGR;BFA;BDI;KHM;CMR;CAN;CPV;CYM;CAF;TCD;CHI;CHL;CHN;COL;COM;COD;COG;COK;CRI;CIV;HRV;CUB;CYP;CZE;DNK;DJI;DMA;DOM;ECU;EGY;SLV;GNQ;ERI;EST;ETH;FRO;FLK;FJI;FIN;FRA;GUF;PYF;GAB;GMB;GEO;DEU;GHA;GIB;GRC;GRL;GRD;GLP;GUM;GTM;GIN;GNB;GUY;HTI;HND;HKG;HUN;ISL;IND;IDN;IRN;IRQ;IRL;IMY;ISR;ITA;JAM;JPN;JOR;KAZ;KEN;KIR;PRK;KOR;KSV;KWT;KGZ;LAO;LVA;LBN;LSO;LBR;LBY;LIE;LTU;LUX;MAC;MKD;MDG;MWI;MYS;MDV;MLI;MLT;MHL;MTQ;MRT;MUS;MYT;MEX;FSM;MDA;MCO;MNG;MNE;MSR;MAR;MOZ;MMR;NAM;NRU;NPL;NLD;ANT;NCL;NZL;NIC;NER;NGA;NIU;NFK;MNP;NOR;OMN;PAK;PLW;PAN;PNG;PRY;PER;PHL;POL;PRT;PRI;QAT;REU;ROM;RUS;RWA;SHN;SPM;WSM;SMR;STP;SAU;SEN;SRB;SCG;SYC;SLE;SGP;SVK;SVN;SLB;SOM;ZAF;ESP;LKA;KNA;LCA;VCT;SDN;SUR;SWZ;SWE;CHE;SYR;TWN;TJK;TZA;THA;TLS;TGO;TKL;TON;TTO;TUN;TUR;TKM;TCA;TUV;UGA;UKR;ARE;GBR;USA;URY;UZB;VUT;VEN;VNM;VIR;VGB;WLF;PSE;YEM;ZMB;ZWE
ABW;0;0;0;0;0;0;4;2;2;0;0;0;0;0;7;0;0;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;72;0;0;0;0;5;258;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;1;9;0;0;1;0;0;2;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;4;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;69;0;0;0;4;0;0;0;0;167;17;1;0;0;1;0;167;3;0;0;0;0;0
AUS;2;1;2;30;0;29;0;1;112;0;7;0;2321;0;96;0;22;1;0;238;0;4;1;7;23;12;2;9;5;11;0;0;524;4;3244;0;6;0;15;0;195;461;91;0;237;0;24;12;11;99;1;479;26;787;0;0;38;7;92;8;0;2;0;4;5;0;682;122;1755;0;8;2;0;0;3453;3;6;35;0;0;3;334;119;22;3;3;0;3;3749;32;3;447;117;0;7;751;0;269;14982;3;190;14;0;414;116;48;52;0;46;0;17;0;2;3;15;2;0;0;12;59;28;0;0;191;0;1;0;3;0;0;212;0;63;77;0;12;0;0;0;3;1;213;0;160;8;1020;14;59;43826;16;48;162;0;0;2;407;13;161;0;41;32257;21;168;388;27;83;6;11;0;4;0;8;0;4;179;0;0;4;0;0;119;29;10;107;10;29;347;3;4660;0;77;0;0;0;3;0;52;368;855;21;0;0;3;359;146;72;0;5;11;0;914;0;0;64;0;0;33;60219;31783;18;0;388;0;2;0;0;1;28;216;323;614
AUT;0;4;47;1;4;48;0;0;14824;0;0;27224;0;0;72;4;2;0;0;1528;0;4;32;3;471;711;1;10111;0;29;3;0;15;0;50167;8;2;0;0;0;950;5;410;0;101;0;0;15;38;7073;15;11;109;2134;0;0;280;63;120;2;0;0;0;1;0;0;43;31;5322;6;5;0;0;0;124663;35;1;417;2;0;6;32;31;16;0;28;0;3;34;2462;48;4;47;2;42;261;0;344;34886;0;7;44;0;0;0;0;2;0;49;0;3;0;3;0;0;8;1850;0;425;0;1244;0;7;3;0;0;1;0;3;0;5;0;416;34;0;50;0;0;0;5;13;15;48;0;0;1100;0;8;1059;34;22;34;0;0;0;752;3;13;0;88;217;12;460;183;947;36;3;16;0;1658;0;0;1;0;0;0;0;16;7;0;6841;3;5;2;43;2075;1;0;3028;108;0;0;0;0;0;0;8;8102;45314;77;0;0;0;117;0;33;0;2;6;47;3245;0;0;0;0;0;11;6936;253310;162;0;3;1311;0;4;0;0;163;104;14;259
AZE;0;0;0;0;0;2;0;0;14;218499;0;299;7;0;0;0;0;0;0;13;0;0;1;0;0;0;0;11;0;25;0;27;4;23;1174;0;0;16;69;0;5;99;7;0;1229;4;0;0;5;7;33;195;46;46;4;0;0;0;7;0;0;12;0;21;0;0;0;11;23;0;0;2;1;11734;78;8;0;2;0;0;0;1;0;26;0;0;0;0;848;155;0;53;29;2;2983;1;0;30949;3;0;0;0;24665;2064;0;10;3;0;44;2762;3;0;196;0;3;1;0;0;0;13;0;31;0;0;0;13;0;0;0;0;0;0;27;0;0;0;0;0;0;0;3;542;0;0;0;6;2;0;3;0;11;22;0;0;0;10;1;5;0;0;0;0;0;22;833;0;0;1047;0;7;136343;8;0;0;0;0;0;16;0;0;0;0;2;0;18;0;0;18;129;0;0;0;0;0;1106;0;1;58;12;77;0;0;150;120;0;16;0;0;0;0;5287;9466;0;0;38;24679;9;57;38390;2;24105;0;0;1;0;0;0;681;23026;2;23
BHS;0;0;0;0;0;0;2;2;0;0;6;31;1;0;0;0;0;16;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;298;0;15;0;0;0;0;0;2;0;0;0;0;0;0;0;20;0;0;0;0;4;190;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;0;373;0;0;5;0;0;0;0;0;0;0;0;8;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;3;0;0;0;28;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;0;7;0;0;0;0;32;158;0;0;0;0;0;45;0;0;0;0;0;0
BHR;0;0;9;0;0;0;0;0;2;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;183;0;0;0;0;0;0;0;0;0;270;0;0;0;0;0;1;1;0;0;0;0;6;0;1104;0;0;0;0;5;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;14;254;0;17;0;0;2;2;0;0;20;0;5;0;0;0;0;1148;0;0;0;6;0;0;77;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;118;0;0;0;0;0;0;4;0;0;0;0;0;0;0;10;1;0;0;0;0;0;127;0;0;0;32;0;0;0;3;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;1;22;0;0;0;50;0;0;0;0;0;3;12;0;0;0;0;0;8;0;40;0;0;0;0;0;0;0;0;1457;131;0;4
BGD;617;0;0;0;0;4;0;0;2;0;0;67;135;0;0;22;0;0;0;83;0;0;0;14;0;2;0;0;125;136;0;0;292;0;3004;0;0;0;2;0;0;24;0;0;155;0;0;0;0;0;1;8;2;96;0;0;1;0;107;0;0;0;0;3;0;0;98;16;1388;0;0;0;0;0;232;254;0;23;0;0;0;12;0;0;0;0;0;0;20;112;0;75838;241;68;3;56;0;0;703;0;223;16;0;64;0;2;0;0;467;0;1;0;17;2;42;10;0;0;10;13;4;3;1;4515;22;4;0;3;0;0;4;0;23;0;0;2;0;0;0;0;1;4259;4;2;2080;0;0;1;58;0;1;3;0;0;0;4;10309;94555;0;0;0;0;0;87;2;24;0;92;0;0;0;0;0;0;0;0;0;25466;8;0;21;1;40;2522;0;0;0;0;90;0;1181;0;0;0;3;0;4;312;115;2388;0;0;21;77;11;2;0;0;0;0;2;0;0;0;1;0;1771;397;271;0;0;3;0;17;0;0;0;0;27;5;53
BRB;0;0;0;0;0;0;17;103;4;0;53;52;5;0;338;0;0;0;0;2;16;0;31;0;0;0;0;0;0;0;0;0;0;0;625;0;16;0;0;0;0;0;5;0;5;0;0;9;0;1;161;0;0;17;0;56;57;1;0;1;0;0;0;0;5;0;1;22;311;37;0;0;0;0;3;0;0;0;0;106;43;2;6;0;0;446;19;19;0;13;0;2;0;0;0;11;0;0;27;558;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;4;0;2;0;0;0;0;0;0;0;1;0;0;0;11;0;0;1;0;0;38;0;0;0;0;0;0;0;137;0;146;14;3;9;0;0;0;3;0;0;0;1412;2;0;3;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;9;302;0;47;248;168;0;0;0;80;0;0;0;0;0;0;0;4;0;0;2728;0;0;0;8;0;0;0;0;15516;280;3;0;0;166;0;373;37;0;0;0;0;0
BLR;0;6;13;0;0;1;0;0;31;2552;0;491;13;4933;0;0;2;0;0;43;0;0;6;0;0;0;0;22;0;108;3;0;12;0;4769;0;0;3;0;0;9;25;5;0;47;0;0;0;6;880;1;356;3531;87;0;0;3;0;39;0;0;0;17102;0;0;0;0;42;170;0;0;0;0;6907;172;8;0;6;0;0;0;0;0;47;0;0;0;0;200;5285;0;148;0;0;2;20;0;458;62;0;0;0;148693;0;0;3;11;0;0;7518;0;92455;3;0;0;50;0;63325;0;1;0;0;0;1;0;37;4;0;0;0;0;0;79;0;8237;0;0;0;0;1;2;0;0;0;0;9;0;0;5;0;15;24;0;0;0;17;0;18;0;0;0;2;0;10;357938;0;0;15;0;830;1125849;0;0;0;0;0;0;0;2;0;2;0;5;0;1398;110;0;0;61;3;0;0;0;0;0;0;0;145;22;0;0;4439;0;0;0;22;0;0;0;2;63;4643;0;0;0;367421;0;114;35508;4;15753;0;2;0;0;0;0;8;5;0;4
BEL;0;0;60;0;33;61;0;0;961;0;0;3563;1067;0;28;2;0;0;0;0;0;0;10;1;68;41;2;26;0;14;1;968;10;364;25157;0;0;102;32;0;508;4;315;2;150557;642;0;23;10;360;8;2;16;332;4;0;143;15;84;39;20;8;0;1659;17;0;8;148;159945;1;2;132;82;0;12869;4;3;243;0;0;3;6;35;3;0;7;0;4;24;506;11;1;31;1;8;228;0;55;16449;0;8;26;0;108;0;0;1;0;25;0;2;0;0;31;3;12;0;0;6415;0;71;38;9;2;0;0;0;0;2;0;40;0;131;6;0;320;0;0;0;7;23;10;75;0;0;13035;0;1;233;34;28;45;0;0;0;373;1;4;0;21;27;7;417;317;140;222;2;4;0;623;0;2257;0;0;0;4;7;9;0;0;393;5;0;1;6;104;0;11;3379;8396;0;0;0;0;115;0;10;139;4658;40;0;0;220;78;0;43;0;0;3;427;1699;0;0;0;60;0;5;11693;49050;39;0;0;529;0;2;0;0;33;21;18;171
